物品,品质,等级,数量,一口价,图标,_notes
归藏丸,灵品,0,47,500,消耗品\归藏丸.png,
归藏碎玉,灵品,0,14,1948000,物品\归藏碎玉.png,
彩玉,灵品,0,48,18491,物品\彩玉.png,
怒涛岩,灵品,0,74,22331,法宝核心\怒涛岩.png,
怨星霜,灵品,0,14,36666,法宝核心\怨星霜.png,
惊芒符,灵品,0,66,8888,消耗品\惊芒符.png,
护甲片·聚,珍品,0,206,388,消耗品\护甲片聚.png,
拓脉丸,珍品,0,157,8775,消耗品\拓脉丸.png,
摧岳符,灵品,0,7,9095,消耗品\摧岳符.png,
方舆灵屑,灵品,0,19,1684000,物品\方舆灵屑.png,
无条盏·陈,良品,0,2421,34,生产材料\无条盏陈.png,
无条茧,良品,0,7795,58,生产材料\无条茧.png,
无条茧·精,珍品,0,882,720,生产材料\无条茧精.png,
无条革,珍品,0,515,720,生产材料\无条革.png,
无极封灵符（专精）,灵品,0,8,6000,消耗品\无极封灵符专精.png,
无极楚真符（核心）,灵品,0,19,15555,消耗品\无极楚真符核心.png,
无极殒天符（会心）,灵品,0,11,7999,消耗品\无极殒天符会心.png,
无极洗心符（气血）,灵品,0,17,14000,消耗品\无极洗心符气血.png,
无极渡尘符（调息）,灵品,0,3,8888,消耗品\无极渡尘符调息.png,
无极湮劫符（秽灭）,灵品,0,1,6666,消耗品\无极湮劫符秽灭.png,
无极焚真符（核心）,灵品,0,19,15555,消耗品\无极焚真符核心.png,
无极聚星符（专精）,灵品,0,11,19888,消耗品\无极聚星符专精.png,
无极荡邪符（核心）,灵品,0,46,17000,消耗品\无极荡邪符核心.png,
无极辟尘符（破甲）,灵品,0,5,3000,消耗品\无极辟尘符破甲.png,
时溯丸,灵品,0,150,18887,消耗品\时溯丸.png,
昆仑仙藤,灵品,0,6,39998,法宝核心\昆仑仙藤.png,
星引石,灵品,0,2346,20,生产材料\星引石.png,
春霖丸,灵品,0,41,749,消耗品\春霖丸.png,
月亮鱼,珍品,0,668,598,生产材料\月亮鱼.png,
月华丸,灵品,0,292,982,消耗品\月华丸.png,
月华露,灵品,0,4815,233,生产材料\月华露.png,
月魄残痕,灵品,0,43,1618000,物品\月魄残痕.png,
望舒御月奠,灵品,0,335,9780,消耗品\望舒御月奠.png,
望舒御月拳,灵品,0,335,9780,消耗品\望舒御月拳.png,
望舒御月羹,灵品,0,335,9780,消耗品\望舒御月羹.png,
朝天椒,凡品,0,11,5000000,生产材料\朝天椒.png,
木灵珠·仙,灵品,0,6,1760000,灵珠\木灵珠仙.png,
木灵珠·灵,灵品,0,51,36397,灵珠\木灵珠灵.png,
木灵珠·珍,灵品,0,10,13000,灵珠\木灵珠珍.png,
木灵珠·良,珍品,0,2,1700000,灵珠\木灵珠良.png,
木系技能自选礼包,灵品,0,24,219,礼包\木系技能自选礼包.png,
木系技能随机礼包,珍品,0,91,96,礼包\木系技能随机礼包.png,
材料盲盒,珍品,0,378,43,礼包\材料盲盒.png,
松露烬天鹿,灵品,0,29,998,消耗品\松露烬天鹿.png,
极道丹,灵品,0,28,8888,消耗品\极道丹.png,
染料,珍品,0,365,305,物品\染料.png,
染血之魂,灵品,0,30,59998,法宝核心\染血之魂.png,
栎木,凡品,0,309,40,生产材料\栎木.png,
棉绳,凡品,0,194,25,生产材料\棉绳.png,
比目鱼·陈,良品,0,34,188,生产材料\比目鱼陈.png,
毛纱,凡品,0,138,18,生产材料\毛纱.png,
水系技能自选礼包,灵品,0,31,786,礼包\水系技能自选礼包.png,
水系技能随机礼包,珍品,0,51,18,礼包\水系技能随机礼包.png,
水虎鱼·陈,珍品,0,9,200,生产材料\水虎鱼陈.png,
汐鱼·陈,凡品,0,114,380,生产材料\汐鱼陈.png,
汤浴绣鸡,珍品,0,3,555,消耗品\汤浴绣鸡.png,
沧海遗珠,灵品,0,539,5193,生产材料\沧海遗珠.png,
沧澜玄灵丸,灵品,0,6,400,消耗品\沧澜玄灵丸.png,
法宝核心匣·禅音,灵品,0,39,48800,礼包\法宝核心匣禅音.png,
法宝核心匣·追忆,灵品,0,121,24539,礼包\法宝核心匣追忆.png,
法宝核心随机礼包·,灵品,0,4,27980,礼包\法宝核心随机礼包.png,
法宝核心随机礼包··,灵品,0,4,27980,礼包\法宝核心随机礼包.png,
法宝核心随机礼包·一,灵品,0,4,27980,礼包\法宝核心随机礼包一.png,
法宝核心随机礼包·三,灵品,0,13,22220,礼包\法宝核心随机礼包三.png,
法宝核心随机礼包·二,灵品,0,4,19650,礼包\法宝核心随机礼包二.png,
法宝核心随机礼包·五,灵品,0,4,26666,礼包\法宝核心随机礼包五.png,
法宝核心随机礼包·四,灵品,0,9,18000,礼包\法宝核心随机礼包四.png,
流云袖袋,灵品,0,13,62000,物品\流云袖袋.png,
流星石,灵品,0,67,23332,消耗品\流星石.png,
流萤荷包,灵品,0,23,19784,物品\流萤荷包.png,
流言,灵品,0,21,259899,消耗品\流言.png,
浮生蔬,良品,0,290,1479,消耗品\浮生蔬.png,
海藻,珍品,0,3961,755,生产材料\海藻.png,
海马,珍品,0,810,598,生产材料\海马.png,
涵虚·玉面红袍,灵品,0,116,154,生产材料\涵虚玉面红袍.png,
涵虚·雪豹兰寿,珍品,0,51,60,生产材料\涵虚雪豹兰寿.png,
涵虚·麒麟兰寿,良品,0,36,30,生产材料\涵虚麒麟兰寿.png,
淬锋石,灵品,0,32,1666,消耗品\淬锋石.png,
混洞圣元丹,灵品,0,340,2200,消耗品\混洞圣元丹.png,
清气灵粉,珍品,0,47,1500,生产材料\清气灵粉.png,
清泉,凡品,0,19,20,生产材料\清泉.png,
清灵通玄玉礼包,灵品,0,77,233,礼包\清灵通玄玉礼包.png,
漆粉,凡品,0,1,312,生产材料\漆粉.png,
澄澜玄蚌,灵品,0,100,13000,生产材料\澄澜玄蚌.png,
瀚海遗藻,灵品,0,346,6388,生产材料\瀚海遗藻.png,
火灵珠·仙,灵品,0,3,18880000,灵珠\火灵珠仙.png,
火灵珠·灵,灵品,0,29,1111000,灵珠\火灵珠灵.png,
火灵珠·珍,灵品,0,43,48999,灵珠\火灵珠珍.png,
火系技能自选礼包,灵品,0,89,555,礼包\火系技能自选礼包.png,
火系技能随机礼包,珍品,0,158,99,礼包\火系技能随机礼包.png,
灭品,未知,0,1,5555,消耗品\灭品.png,
灯芯枝,良品,0,4258,434,生产材料\灯芯枝.png,
灯芯枝·精,珍品,0,231,15000,生产材料\灯芯枝精.png,
灯芯革,珍品,0,388,15999,生产材料\灯芯革.png,
灵之精火,灵品,0,359,2,生产材料\灵之精火.png,
灵之精髓,灵品,0,4621,670,生产材料\灵之精髓.png,
灵尾虾,珍品,0,115,399,生产材料\灵尾虾.png,
灵心丸,良品,0,9,1500,消耗品\灵心丸.png,
灵晶魄,灵品,0,45,23997,消耗品\灵晶魄.png,
灵犀丸,珍品,0,194,14487,消耗品\灵犀丸.png,
灵甲片,灵品,0,86,1111,消耗品\灵甲片.png,
灵矿髓·陈,珍品,0,1571,10,生产材料\灵矿髓陈.png,
灵矿魄·陈,灵品,0,641,25,生产材料\灵矿魄陈.png,
灵草华·陈,珍品,0,1552,13,生产材料\灵草华陈.png,
灵草须·陈,灵品,0,1336,99,生产材料\灵草须陈.png,
灵草须：陈,灵品,0,1336,99,生产材料\灵草须陈.png,
灾焱之福,未知,0,1,4900,法宝核心\灾焱之福.png,
炎焱之精,灵品,0,29,4900,法宝核心\炎焱之精.png,
点晴豆脂,珍品,0,290,659,生产材料\点晴豆脂.png,
点翠晶,良品,0,2278,227,生产材料\点翠晶.png,
点翠晶石,珍品,0,456,9287,生产材料\点翠晶石.png,
点翠石·陈,良品,0,963,60,生产材料\点翠石陈.png,
点翠髓,珍品,0,142,9885,生产材料\点翠髓.png,
炽火灵匣,仙品,0,1,14770000,礼包\炽火灵匣.png,
炽火灵匣·珍,仙品,0,3,15980000,礼包\炽火灵匣珍.png,
炽火礼包,仙品,0,1,35880000,礼包\炽火礼包.png,
焉酸草·陈,良品,0,3627,29,生产材料\焉酸草陈.png,
焉酸草精·陈,珍品,0,94,995,生产材料\焉酸草精陈.png,
焚身丹,灵品,0,141,9998,消耗品\焚身丹.png,
煌月灵珠袋,灵品,0,36,242200,礼包\煌月灵珠袋.png,
狐心造化涎,灵品,0,190,5000,法宝核心\狐心造化涎.png,
玄武片,灵品,0,101,25000,消耗品\玄武片.png,
玄甲片,灵品,0,103,2000,消耗品\玄甲片.png,
玄神丸,良品,0,9,555,消耗品\玄神丸.png,
玄脉晶,灵品,0,178,290,生产材料\玄脉晶.png,
玄脉髓,珍品,0,1521,23,生产材料\玄脉髓.png,
玄芝叶,珍品,0,1858,75,生产材料\玄芝叶.png,
玄芝根,灵品,0,1666,172,生产材料\玄芝根.png,
玄魄丹,灵品,0,55,6666,消耗品\玄魄丹.png,
玄魄晶·陈,灵品,0,45,2998,生产材料\玄魄晶陈.png,
玉京冰魄丹,灵品,0,102,333,消耗品\玉京冰魄丹.png,
玉液琼浆,灵品,0,2,58887,生产材料\玉液琼浆.png,
玉灵丹·凝,灵品,0,15,799,消耗品\玉灵丹凝.png,
玉脂焖灵笋,灵品,0,100,999,消耗品\玉脂焖灵笋.png,
王雷之浆,灵品,0,1,66666,生产材料\王雷之浆.png,
玛瑙晶石,珍品,0,205,6585,生产材料\玛瑙晶石.png,
玛瑙沙,良品,0,1296,210,生产材料\玛瑙沙.png,
玛瑙石·陈,良品,0,734,21,生产材料\玛瑙石陈.png,
玛瑙髓,珍品,0,237,9964,生产材料\玛瑙髓.png,
玲珑蕴宝肉,灵品,0,123,9900,消耗品\玲珑蕴宝肉.png,
珍之精火,珍品,0,0,1346,生产材料\珍之精火.png,
珍之精髓,珍品,0,2984,42,生产材料\珍之精髓.png,
珍珠,珍品,0,3216,649,生产材料\珍珠.png,
理气丸·凝,良品,0,80,20,消耗品\理气丸凝.png,
琉璃星砂礼盒,灵品,0,81,66000,礼包\琉璃星砂礼盒.png,
琥珀蜜腱方,灵品,0,44,9999,消耗品\琥珀蜜腱方.png,
琳琅·瑞景天香礼包,灵品,0,6,1500000,礼包\琳琅瑞景天香礼包.png,
璞玉,灵品,0,27,29700,法宝核心\璞玉.png,
甘露丸,良品,0,947,1970,消耗品\甘露丸.png,
生皮,凡品,0,212,9,生产材料\生皮.png,
生铁砂·陈,良品,0,2382,60,生产材料\生铁砂陈.png,
生铁精·陈,珍品,0,197,80,生产材料\生铁精陈.png,
电弧砂,灵品,0,9,29999,物品\电弧砂.png,
电蛟蜕鳞,灵品,0,6,128800,物品\电蛟蜕鳞.png,
痴妄之魄,灵品,0,138,28880,法宝核心\痴妄之魄.png,
百味鸭肉,珍品,0,402,188,生产材料\百味鸭肉.png,
百川符,灵品,0,10,17777,消耗品\百川符.png,
真元丹,珍品,0,714,570,消耗品\真元丹.png,
真言,灵品,0,5,398800,消耗品\真言.png,
真龙丹,灵品,0,189,25888,消耗品\真龙丹.png,
知秋鸡肉,珍品,0,548,896,生产材料\知秋鸡肉.png,
石英棉·陈,良品,0,654,150,生产材料\石英棉陈.png,
破妄丸,灵品,0,130,12220,消耗品\破妄丸.png,
破妄丹,灵品,0,18,8888,消耗品\破妄丹.png,
破气丸,灵品,0,265,11885,消耗品\破气丸.png,
破限丹,灵品,0,43,8887,消耗品\破限丹.png,
破障通玄玉礼包,灵品,0,203,240,礼包\破障通玄玉礼包.png,
砺刃石,灵品,0,20,799,消耗品\砺刃石.png,
碎榴晶·陈,良品,0,558,24,生产材料\碎榴晶陈.png,
碎金米,凡品,0,3,5,生产材料\碎金米.png,
碧光灵珠袋,灵品,0,50,79998,礼包\碧光灵珠袋.png,
祝余盏·陈,良品,0,1477,30,生产材料\祝余盏陈.png,
祝余盏精·陈,珍品,0,35,900,生产材料\祝余盏精陈.png,
神凰符,灵品,0,122,14000,消耗品\神凰符.png,
神州之核,灵品,0,8,50000,生产材料\神州之核.png,
神工卷,灵品,0,62,7984,消耗品\神工卷.png,
神曦宝瓶,灵品,0,2,128800,生产材料\神曦宝瓶.png,
神通丸,灵品,0,215,7888,消耗品\神通丸.png,
离岳丸,灵品,0,183,400,消耗品\离岳丸.png,
离火丸·凝,良品,0,7,9999,消耗品\离火丸凝.png,
秘言石,灵品,0,111,665,消耗品\秘言石.png,
稀世竞技腕饰升级道具,灵品,0,1,13880000,礼包\稀世竞技腕饰升级道具.png,
符文·专精,灵品,0,74,23980,生产材料\符文专精.png,
符文·会心,灵品,0,36,30554,生产材料\符文会心.png,
符文·破甲,灵品,0,42,14989,生产材料\符文破甲.png,
符文·调息,灵品,0,33,17500,生产材料\符文调息.png,
符文·阳,灵品,0,68,13847,生产材料\符文阳.png,
符文·阴,灵品,0,65,13798,生产材料\符文阴.png,
符文石,良品,0,9,500,消耗品\符文石.png,
符文石·聚,珍品,0,299,860,消耗品\符文石聚.png,
粗银石·陈,良品,0,302,10,生产材料\粗银石陈.png,
粗黄铜·陈,良品,0,2424,137,生产材料\粗黄铜陈.png,
紫府还元丹,灵品,0,5,500,消耗品\紫府还元丹.png,
紫霄劫雷丹,灵品,0,5,499,消耗品\紫霄劫雷丹.png,
级鱼秆,凡品,0,1,4019,生产材料\级鱼秆.png,
纯粹之精·专,灵品,0,1,199899,生产材料\纯粹之精专.png,
纯粹之精·劲,灵品,0,2,168800,生产材料\纯粹之精劲.png,
纸人之愿,灵品,0,11,31900,法宝核心\纸人之愿.png,
线,凡品,0,538,10000,生产材料\线.png,
细致软革·陈,珍品,0,5,884,生产材料\细致软革陈.png,
绯云晶石,珍品,0,606,14995,生产材料\绯云晶石.png,
绯云石,良品,0,6968,330,生产材料\绯云石.png,
绯云髓,珍品,0,377,15659,生产材料\绯云髓.png,
羲和驭日丸,灵品,0,222,2380,消耗品\羲和驭日丸.png,
至圣精华,灵品,0,24,999,物品\至圣精华.png,
至圣辟尘符（破甲）,灵品,0,9,3999,消耗品\至圣辟尘符破甲.png,
至纯精华,灵品,0,1031,20,生产材料\至纯精华.png,
至臻精华,灵品,0,6,66666,物品\至臻精华.png,
良之精火,良品,0,4410,54,生产材料\良之精火.png,
良之精髓,良品,0,2555,10,生产材料\良之精髓.png,
花岩髓·陈,珍品,0,314,1169,生产材料\花岩髓陈.png,
花素绫包,珍品,0,18,4800,物品\花素绫包.png,
芳华丸,灵品,0,113,13984,消耗品\芳华丸.png,
苏眉鱼·陈,珍品,0,46,160,生产材料\苏眉鱼陈.png,
苦辛叶,良品,0,3929,58,生产材料\苦辛叶.png,
苦辛叶·精,珍品,0,242,800,生产材料\苦辛叶精.png,
苦辛革,珍品,0,298,1553,生产材料\苦辛革.png,
范灵果药,珍品,0,1,263,生产材料\范灵果药.png,
菁蓉华·陈,良品,0,598,37,生产材料\菁蓉华陈.png,
萤火萼·陈,良品,0,378,30,生产材料\萤火萼陈.png,
萤辉晶·陈,珍品,0,24,9988,生产材料\萤辉晶陈.png,
蓑,良品,0,553,238,生产材料\蓑.png,
蓑·陈,良品,0,10,260,生产材料\蓑陈.png,
蕴灵果蔬,珍品,0,263,690,生产材料\蕴灵果蔬.png,
虹·陈,良品,0,75,350,生产材料\虹陈.png,
虹光魄,珍品,0,98,9999,消耗品\虹光魄.png,
虹鳉,良品,0,2001,370,生产材料\虹鳉.png,
蚀骨符,灵品,0,30,10500,消耗品\蚀骨符.png,
蚌壳,珍品,0,1877,1499,生产材料\蚌壳.png,
蛮荒多鳍鱼·陈,珍品,0,1,200,生产材料\蛮荒多鳍鱼陈.png,
蝶螈阴极丹,灵品,0,16,9333,法宝核心\蝶螈阴极丹.png,
负山牛肉,珍品,0,419,2500,生产材料\负山牛肉.png,
贪得无厌心,灵品,0,8,39981,法宝核心\贪得无厌心.png,
赤炼血绡,灵品,0,22,9110,法宝核心\赤炼血绡.png,
赤焰灵椒酱,灵品,0,11,800,消耗品\赤焰灵椒酱.png,
踏焰羊肉,珍品,0,74,198,生产材料\踏焰羊肉.png,
轮回五味锅,珍品,0,168,614,消耗品\轮回五味锅.png,
运转符,灵品,0,101,12890,消耗品\运转符.png,
透花岩·陈,良品,0,2371,100,生产材料\透花岩陈.png,
透骨丸,珍品,0,116,12500,消耗品\透骨丸.png,
通倍丸,未知,0,60,340,消耗品\通倍丸.png,
通悟丸,灵品,0,120,340,消耗品\通悟丸.png,
通明蔬,珍品,0,266,649,消耗品\通明蔬.png,
通玄化煞符（化伤）,灵品,0,3,11111,消耗品\通玄化煞符化伤.png,
通玄渡尘符（调息）,灵品,0,10,5555,消耗品\通玄渡尘符调息.png,
通玄聚星符（专精）,灵品,0,6,15009,消耗品\通玄聚星符专精.png,
造化丹,良品,0,522,400,消耗品\造化丹.png,
道劫丹,灵品,0,33,1555,消耗品\道劫丹.png,
道蚀丸,灵品,0,96,12986,消耗品\道蚀丸.png,
都夷枝·陈,良品,0,1924,26,生产材料\都夷枝陈.png,
都夷枝精·陈,珍品,0,60,2092,生产材料\都夷枝精陈.png,
都夷露,良品,0,2895,110,生产材料\都夷露.png,
都夷露·精,珍品,0,408,679,生产材料\都夷露精.png,
都夷革,珍品,0,182,787,生产材料\都夷革.png,
重录命星券,灵品,0,37,256900,物品\重录命星券.png,
金乌坠玉盘,珍品,0,565,415,消耗品\金乌坠玉盘.png,
金灯红·陈,良品,0,2478,25,生产材料\金灯红陈.png,
金系技能自选礼包,灵品,0,88,198,礼包\金系技能自选礼包.png,
金系技能随机礼包,珍品,0,162,85,礼包\金系技能随机礼包.png,
金身符,灵品,0,17,10499,消耗品\金身符.png,
银粉,凡品,0,301,20,生产材料\银粉.png,
锋利蟹钳,灵品,0,123,3700,法宝核心\锋利蟹钳.png,
锦鲤,珍品,0,533,226,生产材料\锦鲤.png,
锦鲤·陈,灵品,0,32,100,生产材料\锦鲤陈.png,
镇岳片,灵品,0,276,35655,消耗品\镇岳片.png,
镜花蜜,珍品,0,87,2198,生产材料\镜花蜜.png,
闪霓绸,灵品,0,4,56666,生产材料\闪霓绸.png,
阁罗饭,珍品,0,23,500,消耗品\阁罗饭.png,
阎罗饭,珍品,0,23,500,消耗品\阎罗饭.png,
阳雷精粹,灵品,0,2262,130,物品\阳雷精粹.png,
随机天赋书礼包,灵品,0,26,555,礼包\随机天赋书礼包.png,
随机技能书礼包,灵品,0,134,47,礼包\随机技能书礼包.png,
雄黄·陈,良品,0,314,5554,生产材料\雄黄陈.png,
雄黄晶石,珍品,0,1377,800,生产材料\雄黄晶石.png,
雄黄霜,良品,0,712,160,生产材料\雄黄霜.png,
雄黄髓,珍品,0,497,678,生产材料\雄黄髓.png,
雕刻之灵宝,灵品,0,137,1350,礼包\雕刻之灵宝.png,
雪泥客,珍品,0,181,598,消耗品\雪泥客.png,
雪纱仙苏盅,灵品,0,30,999,消耗品\雪纱仙苏盅.png,
雪纱仙荪盅,灵品,0,30,999,消耗品\雪纱仙荪盅.png,
雪蚕软革·陈,灵品,0,75,665,生产材料\雪蚕软革陈.png,
雷泽天麻,灵品,0,11,66666,物品\雷泽天麻.png,
雷碣晶石,珍品,0,251,410,生产材料\雷碣晶石.png,
雷碣片·陈,良品,0,332,10,生产材料\雷碣片陈.png,
雷碣砖,良品,0,1776,87,生产材料\雷碣砖.png,
雷碣髓,珍品,0,634,650,生产材料\雷碣髓.png,
雷纹钢,灵品,0,3,76999,生产材料\雷纹钢.png,
霆露丹,灵品,0,3,65999,生产材料\霆露丹.png,
震卦浮土,灵品,0,12,58888,物品\震卦浮土.png,
青冥鹿鸣烩,灵品,0,20,345,消耗品\青冥鹿鸣烩.png,
青帝回春卷,珍品,0,189,739,消耗品\青帝回春卷.png,
青鸾暖心煲,良品,0,776,410,消耗品\青鸾暖心煲.png,
静气丸,良品,0,45,800,消耗品\静气丸.png,
须弥面,灵品,0,22,9987,消耗品\须弥面.png,
风灵珠·仙,灵品,0,2,7999000,灵珠\风灵珠仙.png,
风灵珠·灵,灵品,0,46,98600,灵珠\风灵珠灵.png,
风灵珠·珍,灵品,0,6,6666,灵珠\风灵珠珍.png,
风灵珠·良,珍品,0,2,7899000,灵珠\风灵珠良.png,
餮虾,珍品,0,552,2880,消耗品\餮虾.png,
高级刻石·专精,仙品,0,8,10880000,物品\高级刻石专精.png,
高级刻石·会心,仙品,0,14,16770000,物品\高级刻石会心.png,
高级刻石·命中,仙品,0,5,12220000,物品\高级刻石命中.png,
高级刻石·破甲,仙品,0,5,8888000,物品\高级刻石破甲.png,
高级刻石·调息,仙品,0,2,10000000,物品\高级刻石调息.png,
魂河泪晶,灵品,0,53,5477,法宝核心\魂河泪晶.png,
魔甲片,珍品,0,61,2000,消耗品\魔甲片.png,
鱿鱼,凡品,0,1270,237,生产材料\鱿鱼.png,
鱿鱼·陈,凡品,0,153,120,生产材料\鱿鱼陈.png,
鲇·陈,灵品,0,29,388,生产材料\鲇·陈.png,
鲑鱼,良品,0,2128,333,生产材料\鲑鱼.png,
鲫鱼,凡品,0,1581,178,生产材料\鲫鱼.png,
鲫鱼·陈,凡品,0,72,200,生产材料\鲫鱼陈.png,
鳖,良品,0,769,425,生产材料\鳖.png,
鸣雷骨,灵品,0,1,66666,生产材料\鸣雷骨.png,
麻布,凡品,0,14,9,生产材料\麻布.png,
黄梁梦枕糕,灵品,0,221,10600,消耗品\黄梁梦枕糕.png,
黄灌盏·陈,良品,0,638,34,生产材料\黄灌盏陈.png,
黄金仙府鱼饵,仙品,0,6,200,消耗品\黄金仙府鱼饵.png,
黄铜晶石,珍品,0,503,481,生产材料\黄铜晶石.png,
黄铜矿,良品,0,3844,132,生产材料\黄铜矿.png,
黄铜精·陈,珍品,0,27,562,生产材料\黄铜精陈.png,
黄铜髓,珍品,0,917,299,生产材料\黄铜髓.png,
黔钢沙·陈,良品,0,1187,80,生产材料\黔钢沙陈.png,
黛晶珠·陈,良品,0,944,34,生产材料\黛晶珠陈.png,
黛晶髓·陈,珍品,0,12,600,生产材料\黛晶髓陈.png,
龙息椒香串,灵品,0,319,2400,消耗品\龙息椒香串.png,
龙象丸,灵品,0,45,666,消耗品\龙象丸.png,
龙须绒螯蟹·陈,珍品,0,16,200,生产材料\龙须绒螯蟹陈.png,
